ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month
2013-07-01,16650,16.309987987987984,74.8,78.1,73.4,7.8,0.0,Monday,7
2013-07-02,22745,15.96882611562981,76.1,82.9,73.0,8.0,0.73,Tuesday,7
2013-07-03,21864,16.238808086351995,78.5,84.9,73.9,8.8,0.06,Wednesday,7
2013-07-04,22326,21.2184739765296,82.0,91.0,73.9,8.6,0.96,Thursday,7
2013-07-05,21842,18.040443488081063,84.4,93.0,75.9,9.0,0.0,Friday,7
2013-07-06,20467,19.326261787267306,87.0,95.0,77.0,9.3,0.0,Saturday,7
2013-07-07,20477,18.638323484885479,88.8,98.1,79.0,8.8,0.0,Sunday,7
2013-07-08,21615,21.49216439201172,83.7,98.1,75.0,8.9,0.0,Monday,7
2013-07-09,26641,16.098854522477886,82.6,91.0,75.0,6.0,0.0,Tuesday,7
2013-07-10,25732,15.531954375874399,82.0,91.0,75.0,8.7,0.08,Wednesday,7
2013-07-11,24417,16.828634421373085,82.3,91.0,75.0,7.6,0.02,Thursday,7
2013-07-12,19006,15.635127503595355,75.4,86.0,72.0,9.1,0.0,Friday,7
2013-07-13,26119,18.615661013055639,71.4,78.1,68.0,10.5,0.23,Saturday,7
2013-07-14,29287,19.362671151022635,80.2,93.9,69.1,6.0,0.01,Sunday,7
2013-07-15,28069,15.31828232807249,87.2,93.9,72.0,7.8,0.0,Monday,7
2013-07-16,29842,15.128550923753993,86.5,93.9,79.0,7.9,0.0,Tuesday,7
2013-07-17,30550,14.669449536279322,87.4,97.0,78.1,4.0,0.0,Wednesday,7
2013-07-18,28869,14.380492338956435,89.3,100.0,78.1,6.3,0.0,Thursday,7
2013-07-19,26591,14.671052862497335,92.5,100.0,82.9,8.9,0.0,Friday,7
2013-07-20,25278,17.947821557612691,89.2,100.0,82.9,11.3,0.0,Saturday,7
2013-07-21,30297,18.707899021905355,82.2,95.0,77.0,7.6,0.0,Sunday,7
2013-07-22,25979,14.700189255424252,77.1,87.1,75.0,8.3,0.0,Monday,7
2013-07-23,32376,15.737208117123791,80.0,91.0,75.0,7.4,0.58,Tuesday,7
2013-07-24,35271,15.592202753914922,79.9,91.0,75.0,7.8,0.31,Wednesday,7
2013-07-25,31084,14.937073199502423,68.0,82.9,64.0,11.7,0.0,Thursday,7
2013-07-26,34534,15.667923881778341,71.5,84.0,64.0,8.6,0.02,Friday,7
2013-07-27,32470,18.91439841905348,76.9,84.0,64.9,8.5,0.0,Saturday,7
2013-07-28,23508,17.54357310986331,74.8,84.0,71.1,7.6,0.0,Sunday,7
2013-07-29,34915,15.691451620602411,77.3,89.1,71.1,5.7,0.13,Monday,7
2013-07-30,37334,15.828179853931179,75.9,89.1,70.0,8.7,0.0,Tuesday,7
2013-07-31,37261,15.392547167279462,76.1,82.0,70.0,6.2,0.0,Wednesday,7
2013-08-01,20138,13.377141887641939,73.5,82.0,69.1,7.6,0.0,Thursday,8
2013-08-02,35792,16.090496479660263,75.5,86.0,69.1,7.3,0.5,Friday,8
